Scan Id	Parent m/z	TIC	RT	MS Level	Parent Scan	Child Scans	Ion Injection Time	Cycle Time	Elapsed Time	Dead Time	Time To Next Scan	Lock Mass Found	Lock Mass Shift	Conversion Parameter I	Conversion Parameter A	Conversion Parameter B	Conversion Parameter C	Conversion Parameter D	Conversion Parameter E	Dissociation Type	Polymer Segment Size	Polymer Offset	Polymer Score	Polymer p-value	Base Peak m/z	Base Peak Intensity	Second Peak m/z	Second Peak Intensity	Source Current (uA)	Vacuum Ion Gauge (E-5 Torr)	Vacuum Convectron Gauge (Torr)	FT Penning Gauge (E-10 Torr)	FT Pirani Gauge 1 (Torr)	Multiplier 1 (V)	Multiplier 2 (V)	FT CE Measure Voltage (V)	FT Analyzer Temp (C)
8302	454.32	25686178	31.485214	2	8301	0	38.317	0	0	0.0819	0.0819	0	0	0	0	67818074.2247	31643780.644	0	0	hcd	30	0	0	1	89.0609018784	3311203.5	413.2711607	2041082.25	0	0	0	0	0	0	0	0	0
8303	549.34	19115096	31.486579	2	8301	0	50	0	0	0.08274	0.08274	0	0	0	0	67818078.7959	31643784.9097	0	0	hcd	30	0	0	1	353.129115121	873905.875	549.34291611	767065.625	0	0	0	0	0	0	0	0	0
8304	627.38	19942748	31.487958	2	8301	0	50	0	0	0.08478	0.08478	0	0	0	0	67818076.8227	31643783.0683	0	0	hcd	30	0	0	1	89.0609134139	1329380.5	627.384453884	1219403	0	0	0	0	0	0	0	0	0
8305	910.63	3238849	31.489371	2	8301	0	50	0	0	0.0820200000001	0.0820200000001	0	0	0	0	67818141.4964	31643843.4215	0	0	hcd	30	0	0	1	392.319953281	342512.875	909.65143169	218343.84375	0	0	0	0	0	0	0	0	0
8306	432.3	20928558	31.490738	2	8301	0	50	0	0	0.09936	0.09936	0	0	0	0	67818068.0178	31643774.8516	0	0	hcd	30	0	0	1	89.0608961705	1938871.125	71.0868363531	1448446	0	0	0	0	0	0	0	0	0
8307		1641277600	31.492394	1		0	0.103	0.32682	0	0.32682	0.32682	0	0	0	0	67818080.5367	31643786.5332	0	0		-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
8308		2072366200	31.497841	1		3	0.168	0.57666	0	0.57666	0.28782	0	0	0	0	67818007.978	31643718.8224	0	0		-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
8309	594.91	32206866	31.502638	2	8308	0	32.164	0	0	0.11418	0.11418	0	0	0	0	67818074.2206	31643780.6398	0	0	hcd	44	8	37	5.34950764085e-006	89.0608929371	3757489.5	133.08710457	2610056.75	0	0	0	0	0	0	0	0	0
8310	564.38	34505504	31.504541	2	8308	0	20.027	0	0	0.0754199999999	0.0754199999999	0	0	0	0	67818098.6553	31643803.4423	0	0	hcd	48	32	40	1.97347576123e-009	89.0608862606	5819974	133.087100636	3655912.75	0	0	0	0	0	0	0	0	0
8311	481.82	67282936	31.505798	2	8308	0	9.41	0	0	0.0992400000001	0.0992400000001	0	0	0	0	67818100.4995	31643805.1635	0	0	hcd	32	0	0	1	425.832645985	6361205.5	481.821678743	5517403.5	0	0	0	0	0	0	0	0	0
8312		1718231000	31.507452	1		0	0.077	0.32208	0	0.32208	0.32208	0	0	0	0	67818095.7059	31643800.6902	0	0		-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
8313		2255767000	31.51282	1		0	0.162	0.26736	0	0.26736	0.26736	0	0	0	0	67818002.3849	31643713.6023	0	0		-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
8314		1971046800	31.517276	1		4	0.117	0.62514	0	0.62514	0.28668	0	0	0	0	67818055.5563	31643763.2212	0	0		-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
8315	495.84	62181252	31.522054	2	8314	0	9.762	0	0	0.0755400000001	0.0755400000001	0	0	0	0	67818103.1853	31643807.6699	0	0	hcd	31	0	0	1	495.836709693	5727184	211.077473579	3110598.25	0	0	0	0	0	0	0	0	0
8316	605.37	25558874	31.523313	2	8314	0	18.602	0	0	0.0817199999998	0.0817199999998	0	0	0	0	67818114.8158	31643818.5227	0	0	hcd	31	0	0	1	89.0609308653	2012883.625	605.366505774	1880854.75	0	0	0	0	0	0	0	0	0
